Component,Property,Variant,State,"Token ""Nickname""",Dark Value,Dark Opacity,Light Value,Light Opacity,Implemented on iOS,Implemented on Android,Implemented on the Component Library
SignatureField,Line,Default,Default,signatureFieldLine,Gray/700,100%,Gray/300,100%,No,No,Yes
ChipInputChip,Background,Default,Default,chipInputChipBackground,NightSky/700,100%,Gray/200,100%,No,No,Yes
ChipInputChip,Background,Invalid,Default,chipInputChipBackgroundInvalid,Red/900,100%,Red/200,100%,No,No,Yes
ChipInputChip,Text,Default,Default,chipInputChipText,Gray/100,100%,Gray/900,100%,No,No,Yes
ChipInputChipIcon,Background,Default,Default,chipInputChipIconBackground,Gray/300,100%,Gray/800,100%,No,No,Yes
ChipInputChipIcon,Icon,Default,Default,chipInputChipIconIconBackground,Gray/900,100%,White,100%,No,No,Yes
LinkListItem,Text,Default,Default,linkListItemText,Gray/200,100%,Gray/800,100%,No,No,Yes
LinkListItem,Background,Default,Hover,linkListItemBackgroundHover,NightSky/900,100%,Gray/100,100%,No,No,Yes
LinkListItem,Icon,Default,Default,linkListItemIcon,Gray/600,100%,Gray/400,100%,No,No,Yes
LinkListItemHeader,Text,Default,Default,linkListItemHeaderText,Gray/400,100%,Gray/600,100%,No,No,Yes
KeyPanel,Background,Default,Default,keyPanelBackground,Gray/600,100%,Gray/700,100%,No,No,Yes
KeyPanel,Background,Default,Disabled,keyPanelBackgroundDisabled,Red/800,100%,Red/900,100%,No,No,Yes
KeyPanel,Background,Client,Default,keyPanelBackgroundClient,MediumEmerald,100%,DarkEmerald,100%,No,No,Yes
KeyPanel,Background,Unchained,Default,keyPanelBackgroundUnchained,LightNavy,100%,Navy,100%,No,No,Yes
Key,Outline,Default,Selected,keyOutlineSelected,Primary/500,100%,Primary/600,100%,No,No,Yes
Key,Border,Empty,Default,keyBorderEmpty,Gray/500,100%,Gray/500,100%,No,No,Yes
Key,Border,Empty,Selected,keyBorderEmptySelected,Primary/400,100%,Primary/500,100%,No,No,Yes
Key,Icon,Empty,Default,keyIconEmpty,Gray/600,100%,White,100%,No,No,Yes
Modal,Text,Default,Default,modalText,Gray/200,100%,Gray/800,100%,No,No,Yes
Modal,Background,Default,Default,modalBackground,NightSky/975,100%,White,100%,No,No,Yes
Modal,InfoIcon,Default,Default,modalInfoIcon,Gray/600,100%,Gray/400,100%,No,No,Yes
Modal,CloseIcon,Default,Default,modalCloseIcon,Gray/700,100%,Gray/300,100%,No,No,Yes
Slideout,Background,Default,Default,slideoutBackground,NightSky/975,100%,White,100%,No,No,Yes
SlideoutHeader,Text,Default,Default,slideoutHeaderText,Gray/300,100%,Gray/700,100%,No,No,Yes
SlideoutHeader,Border,Default,Default,slideoutHeaderBorder,NightSky/700,100%,Gray/300,100%,No,No,Yes
SlideoutWell,Border,Default,Default,slideoutWellBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
SlideoutWell,Text,Default,Default,slideoutWellText,Gray/400,100%,Gray/600,100%,No,No,Yes
HardwareWalletButtonIcon,Background,Default,Default,hardwareWalletButtonIconBackground,Gray/500,100%,Gray/600,100%,No,No,Yes
HardwareWalletButtonIcon,Background,Default,Hover,hardwareWalletButtonIconBackgroundHover,Gray/450,100%,Gray/500,100%,No,No,Yes
HardwareWalletButton,BackgroundFrom,Default,Default,hardwareWalletButtonBackgroundFrom,Gray/700,100%,Gray/800,100%,No,No,Yes
HardwareWalletButton,BackgroundTo,Default,Default,hardwareWalletButtonBackgroundTo,Gray/400,100%,Gray/500,100%,No,No,Yes
HardwareWalletButton,BackgroundOverlay,Default,Hover,hardwareWalletButtonBackgroundOverlayHover,Gray/500,100%,Gray/500,100%,No,No,Yes
Carousel,Background,Default,Default,carouselBackground,Gray/600,100%,Gray/600,100%,No,No,Yes
Carousel,Border,Default,Default,carouselBorder,Gray/800,100%,Gray/200,100%,No,No,Yes
ChecklistCircle,Border,Default,Default,checklistCircleBorder,Gray/300,100%,Gray/600,100%,No,No,Yes
ChecklistCircle,Border,Default,Disabled,checklistCircleBorderDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
ChecklistCheckmark,Icon,Default,Default,checklistCheckmarkIcon,Primary/500,100%,Primary/600,100%,No,No,Yes
ChecklistCheckmark,Icon,Default,Disabled,checklistCheckmarkIconDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
Checklist,Border,Default,Default,checklistBorder,Gray/800,100%,Gray/200,100%,No,No,Yes
Checklist,Border,Default,Hover,checklistBorderHover,Primary/800,100%,Primary/200,100%,No,No,Yes
Checklist,Background,Default,Hover,checklistBackgroundHover,NightSky/950,100%,Gray/50,100%,No,No,Yes
Checklist,Background,Default,Completed,checklistBackgroundCompleted,Primary/950,100%,Primary/50,100%,No,No,Yes
Checklist,Border,Default,Completed,checklistBorderCompleted,Primary/800,100%,Primary/200,100%,No,No,Yes
Checklist,Background,Default,Disabled,checklistBackgroundDisabled,Gray/900,100%,Gray/50,100%,No,No,Yes
Checklist,Border,Default,Disabled,checklistBorderDisabled,Gray/800,100%,Gray/200,100%,No,No,Yes
Checklist,Text,Default,Disabled,checklistTextDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
ContentSwitcher,Border,Default,Default,contentSwitcherBorder,NightSky/900,100%,Gray/200,100%,No,No,Yes
ContentSwitcher,Background,Default,Default,contentSwitcherBackground,NightSky/950,100%,Gray/100,100%,No,No,Yes
ContentSwitcherIndicator,Background,Default,Default,contentSwitcherIndicatorBackground,NightSky/800,100%,White,100%,No,No,Yes
